id,make_id,model_id,submodel_id,trim_id,year,make,model,series,submodel,trim,trim_description,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission
23614,22,5688,65309,23614,2015,Toyota,Tacoma,,Base,V6,V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 6M),gas,regular unleaded,V6,4.0,236,5200.0,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual
23615,22,5688,65309,23615,2015,Toyota,Tacoma,,Base,V6,V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),gas,regular unleaded,V6,4.0,236,5200.0,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed automatic
23616,22,5688,65309,23616,2015,Toyota,Tacoma,,Base,V6,V6 4dr Double Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),gas,regular unleaded,V6,4.0,236,5200.0,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed automatic
22365,9,4182,64689,22365,2015,Honda,Civic,,EX,EX,EX 2dr Coupe (1.8L 4cyl 5M),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,5-speed manual
22366,9,4182,64689,22366,2015,Honda,Civic,,EX,EX,EX 2dr Coupe (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22373,9,4182,64689,22373,2015,Honda,Civic,,EX,EX,EX 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22367,9,4182,64690,22367,2015,Honda,Civic,,EX-L,EX-L,EX-L 2dr Coupe (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22368,9,4182,64690,22368,2015,Honda,Civic,,EX-L,EX-L,EX-L 2dr Coupe w/Navigation (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22374,9,4182,64690,22374,2015,Honda,Civic,,EX-L,EX-L,EX-L 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22375,9,4182,64690,22375,2015,Honda,Civic,,EX-L,EX-L,EX-L 4dr Sedan w/Navigation (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22372,9,4182,64691,22372,2015,Honda,Civic,,HF,HF,HF 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,143,6500.0,129.0,4300.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22383,9,4182,64692,22383,2015,Honda,Civic,,Hybrid,Hybrid,Hybrid 4dr Sedan (1.5L 4cyl gas/electric mild hybrid CVT),mild hybrid,regular unleaded,I4,1.5,110,5500.0,127.0,1000.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22384,9,4182,64692,22384,2015,Honda,Civic,,Hybrid,Hybrid,Hybrid 4dr Sedan w/Leather and Navigation (1.5L 4cyl gas/electric mild hybrid CVT),mild hybrid,regular unleaded,I4,1.5,110,5500.0,127.0,1000.0,16,Variable,Single overhead cam (SOHC),front wheel drive,continuously variable-speed automatic
22343,9,4346,64676,22343,2015,Honda,Accord,,EX,EX,EX 4dr Sedan (2.4L 4cyl 6M),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual
22344,9,4346,64676,22344,2015,Honda,Accord,,EX,EX,EX 4dr Sedan (2.4L 4cyl CVT),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
22352,9,4346,64676,22352,2015,Honda,Accord,,EX,EX,EX 2dr Coupe (2.4L 4cyl 6M),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual
22353,9,4346,64676,22353,2015,Honda,Accord,,EX,EX,EX 2dr Coupe (2.4L 4cyl CVT),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
22345,9,4346,64677,22345,2015,Honda,Accord,,EX-L,EX-L,EX-L 4dr Sedan (2.4L 4cyl CVT),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
22346,9,4346,64677,22346,2015,Honda,Accord,,EX-L,EX-L,EX-L 4dr Sedan w/Navigation (2.4L 4cyl CVT),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
22347,9,4346,64677,22347,2015,Honda,Accord,,EX-L,EX-L V-6,EX-L V-6 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,278,6200.0,252.0,4900.0,24,Variable,Single overhead cam (SOHC),front wheel drive,6-speed automatic
22348,9,4346,64677,22348,2015,Honda,Accord,,EX-L,EX-L V-6,EX-L V6 4dr Sedan w/Navigation (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,278,6200.0,252.0,4900.0,24,Variable,Single overhead cam (SOHC),front wheel drive,6-speed automatic
22354,9,4346,64677,22354,2015,Honda,Accord,,EX-L,EX-L,EX-L 2dr Coupe (2.4L 4cyl CVT),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
22355,9,4346,64677,22355,2015,Honda,Accord,,EX-L,EX-L V-6,EX-L V-6 2dr Coupe (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,278,6200.0,252.0,4900.0,24,Variable,Single overhead cam (SOHC),front wheel drive,6-speed shiftable automatic
22399,9,5796,64685,22399,2015,Honda,CR-V,,EX,EX,EX 4dr SUV (2.4L 4cyl CVT),gas,regular unleaded,I4,2.4,185,6400.0,181.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
